name,city,iata,latitude,longitude
Geneve Cointrin,Geneva,GVA,46.238064,6.10895
Saanen,Saanen,,46.487499,7.250834
Sion,Sion,SIR,46.219592,7.326764
Alpnach,Alpnach,,46.943889,8.284167
Dubendorf,Dubendorf,,47.398644,8.648231
Emmen,Emmen,,47.092369,8.305117
Mollis,Mollis,,47.078872,9.064831
Meiringen,Meiringen,,46.743333,8.11
Payerne,Payerne,,46.843208,6.915058
Buochs,Buochs,,46.974914,8.39915
Lugano,Lugano,LUG,46.004275,8.910578
Bern Belp,Bern,BRN,46.9141,7.497153
Grenchen,Grenchen,,47.181628,7.417189
Zurich,Zurich,ZRH,47.464722,8.549167
St Gallen Altenrhein,Altenrhein,ACH,47.485033,9.560775
Samedan,Samedan,SMV,46.534075,9.884106
Guvercinlik,Ankara,,39.93495,32.740775
Esenboga,Ankara,ESB,40.128082,32.995083
Etimesgut,Ankara,ANK,39.949831,32.688622
Akinci,Ankara,,40.078919,32.565625
Adana,Adana,ADA,36.982166,35.280388
Incirlik Ab,Adana,,37.0021,35.425894
Afyon,Afyon,AFY,38.726425,30.601114
Antalya,Antalya,AYT,36.898731,30.800461
Oguzeli,Gaziantep,GZT,36.947183,37.478683
Iskenderun,Iskenderun,,36.573472,36.154
Konya,Konya,KYA,37.979,32.561861
Tulga,Malatya,,38.35375,38.253944
Merzifon,Merzifon,MZH,40.829375,35.521992
Sivas,Sivas,VAS,39.813828,36.903497
Erhac,Malatya,MLX,38.435347,38.091006
Erkilet,Kayseri,ASR,38.770386,35.495428
Sivrihisar,Sivrihisar,,39.451469,31.365308
Tokat,Tokat,,40.306281,36.371089
Cardak,Denizli,DNZ,37.785567,29.701297
Ataturk,Istanbul,IST,40.976922,28.814606
Balikesir,Balikesir,BZI,39.619258,27.925958
Bandirma,Bandirma,BDM,40.317972,27.977694
Tyonek Airport,Tyonek,TYE,61.076667,-151.138056
Eskisehir,Eskisehir,ESK,39.784138,30.582111
Adnan Menderes,Izmir,ADB,38.292392,27.156953
Gaziemir,Izmir,,38.319106,27.159353
Cigli,Izmir,IGL,38.513022,27.010053
Isparta,Isparta,,37.785369,30.581817
Kutahya,Kutahya,,39.426708,30.016872
Yalova,Yalova,,40.684353,29.375728
Topel,Topel,,40.735028,30.083336
Dalaman,Dalaman,DLM,36.713056,28.7925
Akhisar,Akhisar,,38.808887,27.83386
Riverton Regional,Riverton WY,RIW,43.064167,-108.459722
Imsik,Bodrum,BXN,37.140144,27.669717
Samandira,Istanbul,,40.992975,29.216539
Elazig,Elazig,EZS,38.606925,39.291417
Diyarbakir,Diyabakir,DIY,37.893897,40.201019
Erzincan,Erzincan,ERC,39.710203,39.527003
Erzurum,Erzurum,ERZ,39.956501,41.170166
Trabzon,Trabzon,TZX,40.995108,39.789728
Montrose Regional Airport,Montrose CO,MTJ,38.509794,-107.894242
Van,Van,VAN,38.468219,43.3323
Batman,Batman,BAL,37.928969,41.116583
Siirt,Siirt,,37.978886,41.840436
Kaklic,Izmir,,38.517608,26.977406
Efes,Izmir,,37.950747,27.329014
Balti Intl,Saltsy,,47.838114,27.781475
Chisinau Intl,Chisinau,KIV,46.927744,28.930978
Ohrid,Ohrid,OHD,41.179956,20.742325
Skopje,Skopje,SKP,41.961622,21.621381
Gibraltar,Gibraltar,GIB,36.151219,-5.349664
Beograd,Belgrade,BEG,44.818444,20.309139
Nis,Nis,INI,43.337289,21.853722
Podgorica,Podgorica,TGD,42.359392,19.251894
Pristina,Pristina,PRN,42.572778,21.035833
Tivat,Tivat,TIV,42.404664,18.723286
Vrsac,Vrsac,,45.146889,21.309889
M R Stefanik,Bratislava,BTS,48.170167,17.212667
Kosice,Kosice,KSC,48.663055,21.241112
Malacky,Malacky,,48.402028,17.118389
Piestany,Piestany,PZY,48.625247,17.828444
Sliac,Sliac,SLD,48.637839,19.134108
Trencin,Trencin,,48.865003,17.99225
Tatry,Poprad,TAT,49.073594,20.241142
Clow International Airport,Bolingbrook,1CS,41.6959744,-88.1292306
North Caicos,North Caicos,NCA,21.917475,-71.939561
Providenciales,Providenciales,PLS,21.773625,-72.265886
South Caicos,South Caicos,XSC,21.515739,-71.528528
Arroyo Barril Intl,Samana,EPS,19.198586,-69.429772
Maria Montez Intl,Barahona,BRX,18.251464,-71.1204
Cabo Rojo,Cabo Rojo,,17.928981,-71.644769
Casa De Campo Intl,La Romana,LRM,18.450711,-68.911833
Punta Cana Intl,Punta Cana,PUJ,18.567367,-68.363431
Gregorio Luperon Intl,Puerto Plata,POP,19.7579,-70.570033
Las Americas Intl,Santo Domingo,SDQ,18.429664,-69.668925
San Isidro Ab,San Isidoro,,18.503706,-69.761706
Cibao Intl,Santiago,STI,19.406092,-70.604689
Bananera,Bananera,,15.473528,-88.837222
Coban,Coban,CBV,15.468958,-90.406742
La Aurora,Guatemala City,GUA,14.583272,-90.527475
Retalhuleu,Retalhuleu,,14.521017,-91.697256
San Jose,San Jose,,13.936192,-90.835833
Goloson Intl,La Ceiba,LCE,15.742481,-86.853036
La Mesa Intl,San Pedro Sula,SAP,15.452639,-87.923556
Guanaja,Guanaja,GJA,16.445367,-85.906611
Juan Manuel Galvez Intl,Roatan,RTB,16.316814,-86.522961
Tela,Tela,TEA,15.775864,-87.475847
Toncontin Intl,Tegucigalpa,TGU,14.060883,-87.217197
Trujillo,Trujillo,,15.926847,-85.93825
Boscobel,Ocho Rios,OCJ,18.404247,-76.969017
Norman Manley Intl,Kingston,KIN,17.935667,-76.7875
Sangster Intl,Montego Bay,MBJ,18.503717,-77.913358
Ken Jones,Port Antonio,POT,18.198806,-76.534528
Tinson Pen,Kingston,KTP,17.988558,-76.823761
General Juan N Alvarez Intl,Acapulco,ACA,16.757061,-99.753953
Del Norte Intl,Monterrey,NTR,25.865572,-100.237239
Jesus Teran Intl,Aguascalientes,AGU,21.705558,-102.317858
Bahias De Huatulco Intl,Huatulco,HUX,15.775317,-96.262572
General Mariano Matamoros,Cuernavaca,CVJ,18.834764,-99.2613
Ciudad Acuna Intl New,Ciudad Acuna,,29.333917,-101.100892
Ciudad Del Carmen Intl,Ciudad Del Carmen,CME,18.653739,-91.799017
Nuevo Casas Grandes,Nuevo Casas Grandes,,30.397439,-107.874969
Chilpancingo,Chilpancingo,,17.573767,-99.514339
Culiacan Intl,Culiacan,CUL,24.764547,-107.474717
Chetumal Intl,Chetumal,CTM,18.504667,-88.326847
Ciudad Obregon Intl,Ciudad Obregon,CEN,27.392639,-109.833111
Ingeniero Alberto Acuna Ongay Intl,Campeche,CPE,19.816794,-90.500314
Abraham Gonzalez Intl,Ciudad Juarez,CJS,31.636133,-106.428667
General R Fierro Villalobos Intl,Chihuahua,CUU,28.702875,-105.964567
General Pedro Jose Mendez Intl,Ciudad Victoria,CVM,23.703336,-98.956486
Kenosha Regional Airport,Kenosha,ENW,42.5956944,-87.9278056
Cozumel Intl,Cozumel,CZM,20.522403,-86.925644
Durango Intl,Durango,DGO,24.124194,-104.528014
Tepic,Tepic,TPQ,21.419453,-104.842581
Ensenada,Ensenada,ESE,31.795281,-116.602772
Don Miguel Hidalgo Y Costilla Intl,Guadalajara,GDL,20.5218,-103.311167
General Jose Maria Yanez Intl,Guaymas,GYM,27.968983,-110.925169
Tehuacan,Tehuacan,TCN,18.497189,-97.419942
General Ignacio P Garcia Intl,Hermosillo,HMO,29.095858,-111.047858
Colima,Colima,CLQ,19.277011,-103.577397
Isla Mujeres,Isla Mujeres,ISJ,21.245033,-86.739967
Plan De Guadalupe Intl,Saltillo,SLW,25.549497,-100.928669
Ixtepec,Iztepec,,16.449336,-95.093697
Lazaro Cardenas,Lazard Cardenas,LZC,18.001731,-102.220525
Valle Del Fuerte Intl,Los Mochis,LMM,25.685194,-109.080806
Guanajuato Intl,Del Bajio,BJX,20.993464,-101.480847
General Manuel Marquez De Leon Intl,La Paz,LAP,24.072694,-110.362475
Loreto Intl,Loreto,LTO,25.989194,-111.348361
General Servando Canales Intl,Matamoros,MAM,25.769894,-97.525311
Licenciado Manuel Crescencio Rejon Int,Merida,MID,20.936981,-89.657672
General Rodolfo Sanchez Taboada Intl,Mexicali,MXL,32.630634,-115.241637
General Francisco J Mujica Intl,Morelia,MLM,19.849944,-101.0255
Minatitlan,Minatitlan,MTT,18.103419,-94.580681
Monclova Intl,Monclova,LOV,26.955733,-101.470136
Licenciado Benito Juarez Intl,Mexico City,MEX,19.436303,-99.072097
General Mariano Escobedo Intl,Monterrey,MTY,25.778489,-100.106878
General Rafael Buelna Intl,Mazatlan,MZT,23.161356,-106.266072
Nogales Intl,Nogales,NOG,31.226083,-110.975831
Quetzalcoatl Intl,Nuevo Laredo,NLD,27.443918,-99.57046
Xoxocotlan Intl,Oaxaca,OAX,16.999906,-96.726639
Tajin,Poza Rico,PAZ,20.602671,-97.460839
Hermanos Serdan Intl,Puebla,PBC,19.158144,-98.371447
Ingeniero Juan Guillermo Villasana,Pachuca,PCA,20.0772,-98.782814
Puerto Penasco,Punta Penasco,PPE,31.351878,-113.525728
Piedras Negras Intl,Piedras Negras,PDS,28.627394,-100.535211
Licenciado Y Gen Ignacio Lopez Rayon,Uruapan,UPN,19.396692,-102.039056
Licenciado Gustavo Diaz Ordaz Intl,Puerto Vallarta,PVR,20.680083,-105.254167
Puerto Escondido Intl,Puerto Escondido,PXM,15.876861,-97.089117
Queretaro Intercontinental,Queretaro,QRO,20.617289,-100.185658
General Lucio Blanco Intl,Reynosa,REX,26.008908,-98.228513
Los Cabos Intl,San Jose Del Cabo,SJD,23.15185,-109.721044
San Felipe Intl,San Filipe,,30.930222,-114.808639
Ponciano Arriaga Intl,San Luis Potosi,SLP,22.254303,-100.930806
Tlaxcala,Tlaxcala,TXA,19.537964,-98.173467
General Div P A Angel H Corzo Molina,Tuxtla Gutierrez,,16.739919,-93.173297
Torreon Intl,Torreon,TRC,25.568278,-103.410583
Angel Albino Corzo,Tuxtla Gutierrez,TGZ,16.561822,-93.026081
General Abelardo L Rodriguez Intl,Tijuana,TIJ,32.541064,-116.970158
General Francisco Javier Mina Intl,Tampico,TAM,22.29645,-97.865931
Tamuin,Tamuin,TSL,22.038292,-98.806503
Licenciado Adolfo Lopez Mateos Intl,Toluca,TLC,19.337072,-99.566008
Tapachula Intl,Tapachula,TAP,14.794339,-92.370025
Cancun Intl,Cancun,CUN,21.036528,-86.877083
C P A Carlos Rovirosa Intl,Villahermosa,VSA,17.997,-92.817361
General Heriberto Jara Intl,Vera Cruz,VER,19.145931,-96.187267
General Leobardo C Ruiz Intl,Zacatecas,ZCL,22.897112,-102.68689
Ixtapa Zihuatanejo Intl,Zihuatanejo,ZIH,17.601569,-101.460536
Zamora,Zamora,ZMM,20.045036,-102.275955
Playa De Oro Intl,Manzanillo,ZLO,19.144778,-104.558631
Zapopan,Zapopan,,20.755833,-103.465278
Bluefields,Bluefields,BEF,11.990961,-83.774086
Los Brasiles,Los Brasiles,,12.190044,-86.353872
Leon,Leon,,12.428028,-86.902361
Managua Intl,Managua,MGA,12.141494,-86.168178
Puerto Cabezas,Puerto Cabezas,PUZ,14.047194,-83.386722
Bocas Del Toro Intl,Bocas Del Toro,BOC,9.340853,-82.250842
Cap Manuel Nino Intl,Changuinola,CHX,9.458636,-82.516806
Enrique Malek Intl,David,DAV,8.391003,-82.434992
Howard,Howard,HOW,8.914794,-79.599633
Marcos A Gelabert Intl,Panama,PAC,8.973339,-79.555583
Ruben Cantu,Santiago,,8.085597,-80.945253
Tocumen Intl,Panama City,PTY,9.071364,-79.383453
Buenos Aires,Buenos Aires,,9.163606,-83.329872
North Las Vegas Airport,Las Vegas,VGT,36.2106944,-115.1944444
Coto 47,Coto 47,OTR,8.601556,-82.968614
Chacarita,Chacarita,,9.981408,-84.772736
Brown County Airport,Georgetown,,38.8819456,-83.8827367
El Carmen De Siquirres,El Carmen,,10.202033,-83.472167
Nuevo Palmar Sur,Finca 10,,8.916347,-83.507267
Golfito,Golfito,GLF,8.653775,-83.180544
Guapiles,Guapiles,,10.217194,-83.797003
Daniel Oduber Quiros Intl,Liberia,LIR,10.593289,-85.544408
Los Chiles,Los Chiles,,11.035277,-84.706108
Limon Intl,Limon,LIO,9.957961,-83.022006
Nosara,Nosara Beach,NOB,9.97649,-85.653
Juan Santamaria Intl,San Jose,SJO,9.993861,-84.208806
Pandora,Pandora,,9.732169,-82.983214
Palmar Sur,Palmar Sur,PMZ,8.951025,-83.468583
La Managua,Quepos,XQP,9.443164,-84.129772
Santa Clara De Guapiles,Santa Clara,,10.288278,-83.713519
San Vito De Java,San Vito De Jaba,,8.826111,-82.958885
El Salvador Intl,San Salvador,SAL,13.440947,-89.055728
Ilopango Intl,San Salvador,,13.699492,-89.119861
Cayes,Cayes,,18.271103,-73.788289
Cap Haitien Intl,Cap Haitien,CAP,19.732989,-72.194739
Jacmel,Jacmel,,18.241083,-72.5185
Toussaint Louverture Intl,Port-au-prince,PAP,18.58005,-72.292542
Gustavo Rizo,Baracoa Playa,BCA,20.365317,-74.506206
Carlos Manuel De Cespedes,Bayamo,BYM,20.396331,-76.621494
Maximo Gomez,Ciego De Avila,AVI,22.027053,-78.789617
Jardines Del Rey,Cunagua,,22.460986,-78.328422
Jaime Gonzalez,Cienfuegos,CFG,22.15,-80.414167
Vilo Acuna Intl,Cayo Largo del Sur,CYO,21.616453,-81.545989
Ignacio Agramonte Intl,Camaguey,CMW,21.420428,-77.847433
Antonio Maceo Intl,Santiago De Cuba,SCU,19.969769,-75.835414
Florida,Florida,,21.499722,-78.202778
Guantanamo Bay Ns,Guantanamo,,19.906458,-75.207056
Mariana Grajales,Guantanamo,GAO,20.085419,-75.158328
Jose Marti Intl,Havana,HAV,22.989153,-82.409086
Frank Pais Intl,Holguin,HOG,20.785589,-76.315108
La Coloma,La Coloma,LCL,22.336261,-83.642111
Orestes Acosta,Moa,MOA,20.654114,-74.922114
Sierra Maestra,Manzanillo,MZO,20.288172,-77.0893
Rafael Cabrera,Nueva Gerona,GER,21.834689,-82.783819
Playa Baracoa,Baracoa Playa,,23.032778,-82.579444
Pinar Del Rio,Pinar Del Rio Norte,,22.421356,-83.678428
San Antonio De Los Banos,San Antonio De Banos,,22.871529,-82.509308
Abel Santamaria,Santa Clara,SNU,22.492192,-79.943611
Santa Lucia,Santa Lucia,,21.509453,-77.020375
Siguanea,Siguanea,,21.642525,-82.955114
Sancti Spiritus,Sancti Spiritus,,21.969969,-79.442692
Grand Geneva Resort Airport,Lake Geneva,C02,42.6149167,-88.3895833
Juan Gualberto Gomez Intl,Varadero,VRA,23.034445,-81.435278
Hermanos Ameijeiras,Las Tunas,VTU,20.987642,-76.9358
Gerrard Smith Intl,Cayman Barac,CYB,19.686981,-79.882789
Owen Roberts Intl,Georgetown,GCM,19.292778,-81.35775
Clarence A Bain,Clarence Bain,,24.287664,-77.684614
Fresh Creek,Andros Town,ASD,24.698283,-77.795611
Marsh Harbour,Marsh Harbor,MHH,26.511406,-77.083472
San Andros,San Andros,SAQ,25.053814,-78.048997
Spring Point,Spring Point,AXP,22.441828,-73.970858
Sandy Point,Sandy Point,,26.004639,-77.395483
Treasure Cay,Treasure Cay,TCB,26.745336,-77.391269
Chub Cay,Chub Cay,CCZ,25.417108,-77.88085
Great Harbour Cay,Bullocks Harbour,,25.738331,-77.840114
South Bimini,Alice Town,BIM,25.699881,-79.264656
De Kalb Taylor Municipal Airport,De Kalb,DKB,41.9338342,-88.7056864
Exuma Intl,Great Exuma,GGT,23.562631,-75.877958
George Town,George Town,,23.466667,-75.78167
North Eleuthera,North Eleuthera,ELH,25.474861,-76.683489
Governors Harbour,Governor's Harbor,GHB,25.284706,-76.331011
Normans Cay,Norman's Cay,,24.594258,-76.820214
Rock Sound,Rock Sound,RSD,24.8917,-76.177739
Staniel Cay,Staniel Cay,,24.169083,-76.439056
Grand Bahama Intl,Freeport,FPO,26.558686,-78.695553
Matthew Town,Matthew Town,IGA,20.975,-73.666862
Deadmans Cay,Dead Man's Cay,LGI,23.179014,-75.093597
Stella Maris,Stella Maris,SML,23.581444,-75.270475
Mayaguana,Mayaguana,MYG,22.379528,-73.0135
Lynden Pindling Intl,Nassau,NAS,25.038958,-77.466231
Duncan Town,Duncan Town,,22.181803,-75.729456
New Port Nelson,Port Nelson,,23.684378,-74.836186
San Salvador,Cockburn Town,ZSA,24.063275,-74.523967
Philip S W Goldson Intl,Belize City,BZE,17.539144,-88.308203
Aitutaki,Aitutaki,AIT,-18.830922,-159.764233
Rarotonga Intl,Avarua,RAR,-21.202739,-159.805556
Nadi Intl,Nandi,NAN,-17.755392,177.443378
Nausori Intl,Nausori,SUV,-18.043267,178.559228
Fua Amotu Intl,Tongatapu,TBU,-21.241214,-175.149644
Vavau Intl,Vava'u,VAV,-18.585336,-173.961717
Bonriki Intl,Tarawa,TRW,1.381636,173.147036
Tabiteuea North,Tabiteuea North,TBF,-1.224469,174.775614
Maitland Airport,Maitland,MTL,-32.7033,151.488
Wallis,Wallis,WLS,-13.238281,-176.199228
Faleolo Intl,Faleolo,APW,-13.829969,-172.008336
Pago Pago Intl,Pago Pago,PPG,-14.331,-170.7105
Rurutu,Rurutu,RUR,-22.434069,-151.360614
Tubuai,Tubuai,TUB,-23.365353,-149.524072
Anaa,Anaa,AAA,-17.352606,-145.509956
Fangatau,Fangatau,,-15.819928,-140.88715
Tikehau,Tikehau,TIH,-15.119617,-148.230697
Reao,Reao,REA,-18.465861,-136.439706
Fakarava,Fakarava,FAV,-16.05415,-145.656994
Manihi,Manihi,XMH,-14.436764,-146.070056
Totegegie,Totegegie,GMR,-23.079861,-134.890333
Kaukura,Kaukura Atoll,KKR,-15.663333,-146.884769
Makemo,Makemo,MKP,-16.583919,-143.658369
Puka Puka,Puka Puka,PKP,-14.809458,-138.812811
Takapoto,Takapoto,TKP,-14.709544,-145.245814
Arutua,Arutua,AXR,-15.248289,-146.616708
Mataiva,Mataiva,MVT,-14.868055,-148.717225
Takaroa,Takaroa,TKX,-14.455781,-145.024542
Nuku Hiva,Nuku Hiva,NHV,-8.795603,-140.228789
Purude University Airport,Lafayette,LAF,40.4123056,-86.9368889
Bora Bora,Bora Bora,BOB,-16.444378,-151.751286
Rangiroa,Rangiroa,RGI,-14.954283,-147.6608
Huahine,Huahine Island,HUH,-16.687242,-151.021667
Moorea,Moorea,MOZ,-17.489972,-149.761869
Hao,Hao Island,HOI,-18.074814,-140.945886
Maupiti,Maupiti,MAU,-16.426486,-152.243669
Raiatea,Raiatea Island,RFP,-16.722861,-151.465856
Port Vila Bauerfield,Port-vila,VLI,-17.699325,168.319794
Kone,Kone,KNQ,-21.053428,164.837806
Koumac,Koumac,KOC,-20.546314,164.255625
Lifou,Lifou,LIF,-20.7748,167.239864
Magenta,Noumea,GEA,-22.258278,166.472806
Mare,Mare,MEE,-21.481678,168.037508
Touho,Touho,TOU,-20.790028,165.259486
Ouvea,Ouvea,UVE,-20.640556,166.572778
La Tontouta,Noumea,NOU,-22.014553,166.212972
Auckland Intl,Auckland,AKL,-37.008056,174.791667
Taupo,Taupo,TUO,-38.739723,176.084444
Ardmore,Ardmore,AMZ,-37.029722,174.973333
Christchurch Intl,Christchurch,CHC,-43.489358,172.532225
Chatham Islands,Chatham Island,CHT,-43.81,-176.457222
Dunedin,Dunedin,DUD,-45.928055,170.198333
Gisborne,Gisborne,GIS,-38.663333,177.978333
Glentanner,Glentanner,MON,-43.906666,170.128333
Hokitika,Hokitika,HKK,-42.713611,170.985278
Hamilton,Hamilton,HLZ,-37.866661,175.332056
Hastings,Hastings,,-39.646667,176.766944
Kerikeri,Kerikeri,KKE,-35.262779,173.911944
Kaitaia,Kaitaia,KAT,-35.07,173.285278
Alexandra,Alexandra,ALR,-45.211666,169.373333
Mount Cook,Mount Cook,GTN,-43.764999,170.133333
Manapouri,Manapouri,TEU,-45.533056,167.65
Masterton,Masterton,MRO,-40.973333,175.633611
New Plymouth,New Plymouth,NPL,-39.008611,174.179167
Nelson,Nelson,NSN,-41.298333,173.221111
Invercargill,Invercargill,IVC,-46.412408,168.312992
Ohakea,Ohakea,,-40.206039,175.387808
Oamaru,Oamaru,OAM,-44.97,171.081667
Palmerston North,Palmerston North,PMR,-40.320556,175.616944
Paraparaumu,Paraparaumu,PPQ,-40.904722,174.989167
Queenstown,Queenstown International,ZQN,-45.021111,168.739167
Rotorua,Rotorua,ROT,-38.109167,176.317222
Waiouru,Waiouru,,-39.446389,175.658333
South Pole Station,Stephen's Island,,-89.999997,0
Tauranga,Tauranga,TRG,-37.671944,176.19611
Timaru,Timaru,TIU,-44.302778,171.225278
Pukaki,Pukaki,,-44.235,170.118333
Woodbourne,Woodbourne,BHE,-41.518333,173.870278
Mcmurdo Station,Weydon,,-77.867358,167.056572
Wanaka,Wanaka,WKA,-44.722222,169.245556
Wigram,Wigram,,-43.551111,172.552778
Whakatane,Whakatane,WHK,-37.920556,176.914167
Wellington Intl,Wellington,WLG,-41.327221,174.805278
Wairoa,Wairoa,,-39.006944,177.406667
Whenuapai,Whenuapai,,-36.787777,174.630278
Whangarei,Whangarei,WRE,-35.768333,174.365
Westport,Westport,WSZ,-41.738056,171.580833
Wanganui,Wanganui,WAG,-39.962222,175.025278
Herat,Herat,HEA,34.210017,62.2283
Jalalabad,Jalalabad,JAA,34.399842,70.498625
Kabul Intl,Kabul,KBL,34.565853,69.212328
Kandahar,Kandahar,KDH,31.505756,65.847822
Maimana,Maimama,MMZ,35.930789,64.760917
Mazar I Sharif,Mazar-i-sharif,MZR,36.706914,67.209678
Shindand,Shindand,,33.391331,62.260975
Sheberghan,Sheberghan,,36.750783,65.913164
Konduz,Kunduz,UND,36.665111,68.910833
Bahrain Intl,Bahrain,BAH,26.270834,50.63361
Shaikh Isa,Bahrain,,25.918362,50.590557
Abha,Abha,AHB,18.240367,42.656625
Al Ahsa,Al-ahsa,HOF,25.285306,49.485189
Al Baha,El-baha,ABT,20.296139,41.634277
Bisha,Bisha,BHH,19.98435,42.620881
Abqaiq,Abqaiq,,25.911281,49.591231
King Fahd Intl,Dammam,DMM,26.471161,49.79789
King Abdulaziz Ab,Dhahran,DHA,26.265417,50.152027
King Abdullah Bin Abdulaziz,Gizan,GIZ,16.901111,42.585833
Gassim,Gassim,ELQ,26.302822,43.773911
Guriat,Guriat,URY,31.411942,37.279469
Hail,Hail,HAS,27.437917,41.686292
Jubail,Jubail,,27.039028,49.405083
King Faisal Naval Base,Jeddah,,21.3481,39.173033
King Abdulaziz Intl,Jeddah,JED,21.679564,39.156536
King Khaled Military City,King Khalid Mil.city,HBT,27.900917,45.528194
Prince Mohammad Bin Abdulaziz,Madinah,MED,24.553422,39.705061
Nejran,Nejran,EAM,17.611436,44.419169
Qaisumah,Hafr Al-batin,AQI,28.335192,46.125069
Pump Station 3,Petroline 3,,25.174547,47.488431
Pump Station 6,Petroline 6,,24.710333,44.964527
Pump Station 10,Petroline 10,,24.107339,41.036047
Rabigh,Rabigh,,22.702608,39.069842
Rafha,Rafha,RAH,29.626419,43.490614
King Khaled Intl,Riyadh,RUH,24.95764,46.698776
Ras Mishab,Rash Mishab,,28.079584,48.610973
Arar,Arar,RAE,30.906589,41.138217
Ras Tanura,Ras Tanura,,26.723108,50.030814
Sharurah,Sharurah,SHW,17.466875,47.121431
Mudgee Airport,Mudgee,DGE,-32.5625,149.611
Sulayel,Sulayel,SLF,20.464744,45.619644
Tabuk,Tabuk,TUU,28.365417,36.618889
Taif,Taif,TIF,21.483418,40.544334
Thumamah,Thumamah,,25.212986,46.640978
Ras Tanajib,Ras Tanajib,,27.867844,48.76915
Turaif,Turaif,TUI,31.692683,38.7312
Miami University Airport,Oxford,OXD,39.5022607,-84.7843814
Wejh,Wejh,EJH,26.198553,36.476381
Yenbo,Yenbo,YNB,24.144244,38.06335
Abadan,Abadan,ABD,30.371111,48.228333
Dezful,Dezful,,32.434444,48.39764
Aghajari,Aghajari,,30.74445,49.677183
Gachsaran,Gachsaran,,30.337567,50.827964
Shahid Asyaee,Masjed Soleiman,QMJ,32.002372,49.270364
Omidiyeh,Omidyeh,,30.835167,49.534916
Mahshahr,Bandar Mahshahr,MRX,30.556192,49.151879
Ahwaz,Ahwaz,AWZ,31.337431,48.76195
Abumusa Island,Abumusa I.,,25.875742,55.032994
Bushehr,Bushehr,BUZ,28.944811,50.834637
Bastak,Bastak,,27.212678,54.318592
Asaloyeh,Golbandi,,27.481425,52.615483
Kish Island,Kish Island,KIH,26.526156,53.980211
Bandar Lengeh,Bandar Lengeh,BDH,26.532,54.824847
Khark Island,Khark Island,,29.260278,50.323889
Sirri Island,Siri Island,,25.908869,54.5394
Lavan Island,Lavan Island,,26.8103,53.356289
Shahid Ashrafi Esfahani,Bakhtaran,KSH,34.345853,47.158128
Sanandaj,Sanandaj,SDG,35.245856,47.009247
Hesa,Daran,,32.928889,51.561111
Shahid Vatan Pour Air Base,Esfahan,,32.567039,51.691594
Kashan,Kashan,,33.895333,51.577044
Esfahan Shahid Beheshti Intl,Esfahan,,32.750836,51.861267
Badr Air Base,Sepah,,32.621108,51.697017
Rasht,Rasht,RAS,37.325314,49.605817
Delaware County Airport,Muncie,MIE,40.2424722,-85.39575
Arak,Arak,,34.138147,49.847292
Ghazvin Azadi,Abe-ali,,35.952097,50.450778
Kushke Nosrat,Kushke Nosrat,,34.98395,50.806219
Doshan Tappeh,Teheran,,35.702983,51.475131
Imam Khomeini Intl,Abyek,,35.416111,51.152222
Ghale Morghi,Teheran,,35.644806,51.380695
Mehrabad Intl,Teheran,THR,35.689167,51.313416
Ghazvin,Ghazvin,,36.240061,50.047153
Naja,Khoram Dareh,,35.776286,50.881014
Bandar Abbass Intl,Bandar Abbas,BND,27.218317,56.37785
Jiroft,Jiroft,,28.726925,57.670269
Kerman,Kerman,KER,30.274444,56.951111
Havadarya,Bandar Abbas,,27.158251,56.172461
Dayrestan,Gheshm I.,,26.754639,55.902353
Sirjan,Sirjan,,29.550933,55.672708
Birjand,Birjand,XBJ,32.898056,59.266111
Sarakhs,Sarakhs,,36.501178,61.064903
Shahroud,Emam Shahr,,36.425094,55.104833
Whitsunday Airstrip,Airlie Beach,WSY,-20.276,148.755
Tabas,Tabas,,33.66775,56.892675
Kalaleh,Kalaleh,,37.383272,55.452008
Ramsar,Ramsar,RZR,36.909908,50.679589
Aeropuerto de Rafaela,Rafaela,RAF,-31.282072,-61.501594
Fasa,Fasa,,28.891756,53.723339
Jahrom,Jahrom,,28.586675,53.579144
Lamerd,Lamerd,,27.372744,53.188794
Shiraz Shahid Dastghaib Intl,Shiraz,SYZ,29.539242,52.589786
Khoy,Khoy,,38.427453,44.973575
Sabadell Airport,Sabadell,QSA,41.5209,2.10508
Tabriz Intl,Tabriz,TBZ,38.133889,46.235
Zanjan,Zanjan,,36.77365,48.359422
Yazd Shahid Sadooghi,Yazd,AZD,31.904908,54.276503
Zabol,Zabol,,31.098333,61.543889
Chah Bahar,Chah Bahar,ZBR,25.44335,60.382114
Zahedan Intl,Zahedan,ZAH,29.475686,60.906189
Iran Shahr,Iran Shahr,,27.236117,60.720039
Saravan,Saravan,,27.419261,62.315789
Queen Alia Intl,Amman,AMM,31.722556,35.993214
Marka Intl,Amman,ADJ,31.972703,35.991569
Aqaba King Hussein Intl,Aqaba,AQJ,29.611619,35.018067
Prince Hasan,Hotel Four,,32.160747,37.149383
Jerusalem,Jerusalem,,31.864722,35.219167
King Hussein,Mafraq,OMF,32.356353,36.259181
Kuwait Intl,Kuwait,KWI,29.226567,47.968928
Rafic Hariri Intl,Beirut,BEY,33.820931,35.488389
Rene Mouawad,Kleiat,,34.589333,36.011322
Abu Dhabi Intl,Abu Dhabi,AUH,24.432972,54.651138
Bateen,Abu Dhabi,AZI,24.428333,54.458084
Al Hamra Aux,Al Hamra,,24.073981,52.463644
